축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율,도,시군구,회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
김제지평선축제,2023,5,57094.0,89480.0,77.0,146651.0,29330.2,29633.4,-1.0,148167.0,-1516.0,38.93,61.02,0.05,-1.02,전북,김제시,2023.0,전북,김제지평선축제,2034103760.0,0.0,2034103760.0,10.0,10.0,김제지평선축제2023
김해분청도자기축제,2018,10,90070.0,64702.0,288.0,155060.0,15506.0,,,,155060.0,58.09,41.73,0.19,0.0,경남,김해시,2018.0,경남,김해분청도자기축제,363307500.0,0.0,363307500.0,10.0,10.0,김해분청도자기축제2018
김해분청도자기축제,2019,10,69983.0,41811.0,321.0,112115.0,11211.5,15506.0,-27.7,155060.0,-42945.0,62.42,37.29,0.29,-27.7,경남,김해시,2018.0,경남,김해분청도자기축제,363307500.0,0.0,363307500.0,10.0,10.0,김해분청도자기축제2019
김해분청도자기축제,2022,10,115497.0,67566.0,26.0,183089.0,18308.9,11211.5,63.3,112115.0,70974.0,63.08,36.9,0.01,63.3,경남,김해시,2022.0,경남,김해분청도자기축제,381290000.0,0.0,381290000.0,10.0,10.0,김해분청도자기축제2022
김해분청도자기축제,2023,10,107345.0,57788.0,147.0,165280.0,16528.0,18308.9,-9.7,183089.0,-17809.0,64.95,34.96,0.09,-9.73,경남,김해시,2023.0,경남,김해분청도자기축제,386209830.0,20000000.0,366209830.0,10.0,10.0,김해분청도자기축제2023
남원춘향제,2018,5,40355.0,44830.0,42.0,85227.0,17045.4,,,,85227.0,47.35,52.6,0.05,0.0,전북,남원시,2018.0,전북,춘향제,1265844820.0,550000000.0,715844820.0,5.0,5.0,남원춘향제2018
남원춘향제,2019,5,42233.0,35639.0,64.0,77936.0,15587.2,17045.4,-8.6,85227.0,-7291.0,54.19,45.73,0.08,-8.55,전북,남원시,2019.0,전북,춘향제,1212000000.0,310000000.0,902000000.0,5.0,5.0,남원춘향제2019
남원춘향제,2022,5,59276.0,51267.0,3.0,110546.0,22109.2,15587.2,41.8,77936.0,32610.0,53.62,46.38,0.0,41.84,전북,남원시,2022.0,전북,춘향제,975658000.0,0.0,975658000.0,5.0,5.0,남원춘향제2022
남원춘향제,2023,5,70626.0,63884.0,25.0,134535.0,26907.0,22109.2,21.7,110546.0,23989.0,52.5,47.49,0.02,21.7,전북,남원시,2023.0,전북,춘향제,1879723670.0,0.0,1879723670.0,5.0,5.0,남원춘향제2023
담양대나무축제,2018,6,73102.0,166564.0,290.0,239956.0,39992.6667,,,,239956.0,30.46,69.41,0.12,0.0,전남,담양군,2018.0,전남,담양대나무축제,709129900.0,20000000.0,689129900.0,5.0,5.0,담양대나무축제2018
담양대나무축제,2019,6,77130.0,208406.0,398.0,285934.0,47655.6667,39992.6667,19.2,239956.0,45978.0,26.97,72.89,0.14,19.16,전남,담양군,2019.0,전남,담양대나무축제,734250000.0,170000000.0,564250000.0,5.0,5.0,담양대나무축제2019
담양대나무축제,2023,5,85117.0,126686.0,25.0,211828.0,42365.6,47655.6667,-11.1,285934.0,-74106.0,40.18,59.81,0.01,-25.92,전남,담양군,2023.0,전남,담양대나무축제,600000000.0,0.0,600000000.0,5.0,5.0,담양대나무축제2023
대구약령시한방문화축제,2018,5,68570.0,222713.0,549.0,291832.0,58366.4,,,,291832.0,23.5,76.32,0.19,0.0,대구,대구,,,,,,,,,대구약령시한방문화축제2018
대구약령시한방문화축제,2019,5,70912.0,234411.0,2371.0,307694.0,61538.8,58366.4,5.4,291832.0,15862.0,23.05,76.18,0.77,5.44,대구,대구,,,,,,,,,대구약령시한방문화축제2019
대구약령시한방문화축제,2022,5,57047.0,181569.0,57.0,238673.0,47734.6,61538.8,-22.4,307694.0,-69021.0,23.9,76.07,0.02,-22.43,대구,대구,2023.0,대구,약령시한방문화축제,20000000.0,0.0,20000000.0,5.0,5.0,대구약령시한방문화축제2022
대구약령시한방문화축제,2023,3,31703.0,106142.0,265.0,138110.0,46036.6667,47734.6,-3.6,238673.0,-100563.0,22.95,76.85,0.19,-42.13,대구,대구,2023.0,대구,약령시한방문화축제,20000000.0,0.0,20000000.0,5.0,5.0,대구약령시한방문화축제2023
대구치맥페스티벌,2018,5,105973.0,147276.0,467.0,253716.0,50743.2,,,,253716.0,41.77,58.05,0.18,0.0,대구,대구,2018.0,대구,대구치맥페스티벌,1848087691.0,0.0,1848087691.0,7.0,7.0,대구치맥페스티벌2018
대구치맥페스티벌,2019,5,108254.0,140051.0,962.0,249267.0,49853.4,50743.2,-1.8,253716.0,-4449.0,43.43,56.19,0.39,-1.75,대구,대구,2019.0,대구,대구치맥페스티벌,1911879081.0,70000000.0,1841879081.0,7.0,7.0,대구치맥페스티벌2019
대구치맥페스티벌,2022,5,85961.0,141431.0,12.0,227404.0,45480.8,49853.4,-8.8,249267.0,-21863.0,37.8,62.19,0.01,-8.77,대구,대구,2022.0,대구,대구치맥페스티벌,2182259481.0,30000000.0,2152259481.0,7.0,7.0,대구치맥페스티벌2022
대구치맥페스티벌,2023,5,96663.0,130011.0,359.0,227033.0,45406.6,45480.8,-0.2,227404.0,-371.0,42.58,57.27,0.16,-0.16,대구,대구,2023.0,대구,대구치맥페스티벌,12420856644.0,0.0,12420856644.0,8.0,9.0,대구치맥페스티벌2023
대전사이언스페스티벌,2018,4,111622.0,68855.0,828.0,181305.0,45326.25,,,,181305.0,61.57,37.98,0.46,0.0,대전,유성구,2018.0,대전,대전사이언스페스티벌,1215000000.0,15000000.0,1200000000.0,10.0,10.0,대전사이언스페스티벌2018
대전사이언스페스티벌,2019,4,106341.0,64139.0,355.0,170835.0,42708.75,45326.25,-5.8,181305.0,-10470.0,62.25,37.54,0.21,-5.77,대전,유성구,2019.0,대전,대전사이언스페스티벌,1160000000.0,15000000.0,1145000000.0,10.0,10.0,대전사이언스페스티벌2019
대전사이언스페스티벌,2022,4,121807.0,89456.0,59.0,211322.0,52830.5,42708.75,23.7,170835.0,40487.0,57.64,42.33,0.03,23.7,대전,유성구,2022.0,대전,대전사이언스페스티벌,1160000000.0,0.0,1160000000.0,10.0,10.0,대전사이언스페스티벌2022
대전사이언스페스티벌,2023,3,88731.0,77886.0,134.0,166751.0,55583.6667,52830.5,5.2,211322.0,-44571.0,53.21,46.71,0.08,-21.09,대전,유성구,2023.0,대전,대전사이언스페스티벌,1500000000.0,0.0,1500000000.0,10.0,10.0,대전사이언스페스티벌2023
대전효문화뿌리축제,2018,3,56648.0,57160.0,46.0,113854.0,37951.3333,,,,113854.0,49.75,50.2,0.04,0.0,대전,중구,2018.0,대전,효문화 뿌리축제,829284800.0,130000000.0,699284800.0,10.0,10.0,대전효문화뿌리축제2018
대전효문화뿌리축제,2019,3,65601.0,85582.0,501.0,151684.0,50561.3333,37951.3333,33.2,113854.0,37830.0,43.25,56.42,0.33,33.23,대전,중구,2019.0,대전,효문화 뿌리축제,799324450.0,30000000.0,769324450.0,9.0,9.0,대전효문화뿌리축제2019
대전효문화뿌리축제,2022,3,56474.0,69078.0,13.0,125565.0,41855.0,50561.3333,-17.2,151684.0,-26119.0,44.98,55.01,0.01,-17.22,대전,중구,2022.0,대전,대전효문화뿌리축제,815996600.0,16000000.0,799996600.0,10.0,10.0,대전효문화뿌리축제2022
대전효문화뿌리축제,2023,3,50972.0,73515.0,55.0,124542.0,41514.0,41855.0,-0.8,125565.0,-1023.0,40.93,59.03,0.04,-0.81,대전,중구,2023.0,대전,대전효문화뿌리축제,1192258000.0,300000000.0,892258000.0,10.0,10.0,대전효문화뿌리축제2023
동래읍성역사축제,2018,3,96887.0,105153.0,122.0,202162.0,67387.3333,,,,202162.0,47.93,52.01,0.06,0.0,부산,동래구,2018.0,부산,동래읍성역사축제,485000000.0,145000000.0,340000000.0,10.0,10.0,동래읍성역사축제2018
동래읍성역사축제,2019,3,104103.0,110827.0,184.0,215114.0,71704.6667,67387.3333,6.4,202162.0,12952.0,48.39,51.52,0.09,6.41,부산,동래구,2019.0,부산,동래읍성역사축제,446460000.0,45000000.0,401460000.0,10.0,10.0,동래읍성역사축제2019
동래읍성역사축제,2022,3,116630.0,100134.0,10.0,216774.0,72258.0,71704.6667,0.8,215114.0,1660.0,53.8,46.19,0.0,0.77,부산,동래구,2022.0,부산,동래읍성역사축제,585438000.0,64000000.0,521438000.0,10.0,10.0,동래읍성역사축제2022
동래읍성역사축제,2023,3,109390.0,86849.0,113.0,196352.0,65450.6667,72258.0,-9.4,216774.0,-20422.0,55.71,44.23,0.06,-9.42,부산,동래구,2023.0,부산,동래읍성역사축제,631264000.0,0.0,631264000.0,10.0,10.0,동래읍성역사축제2023
목포항구축제,2018,3,24801.0,26414.0,43.0,51258.0,17086.0,,,,51258.0,48.38,51.53,0.08,0.0,전남,목포시,2018.0,전남,목포항구축제,602750000.0,80000000.0,522750000.0,10.0,10.0,목포항구축제2018
목포항구축제,2019,4,42719.0,46874.0,54.0,89647.0,22411.75,17086.0,31.2,51258.0,38389.0,47.65,52.29,0.06,74.89,전남,목포시,2019.0,전남,목포항구축제,615000000.0,30000000.0,585000000.0,10.0,10.0,목포항구축제2019
목포항구축제,2022,3,48985.0,48174.0,7.0,97166.0,32388.6667,22411.75,44.5,89647.0,7519.0,50.41,49.58,0.01,8.39,전남,목포시,2022.0,전남,목포항구축제,797501000.0,0.0,797501000.0,10.0,10.0,목포항구축제2022
목포항구축제,2023,3,40189.0,43629.0,88.0,83906.0,27968.6667,32388.6667,-13.6,97166.0,-13260.0,47.9,52.0,0.1,-13.65,전남,목포시,2023.0,전남,목포항구축제,968421400.0,677894980.0,290526420.0,10.0,10.0,목포항구축제2023
무주반딧불축제,2018,9,78309.0,99007.0,180.0,177496.0,19721.7778,,,,177496.0,44.12,55.78,0.1,0.0,전북,무주군,2018.0,전북,무주반딧불축제,2849963580.0,410000000.0,2439963580.0,9.0,9.0,무주반딧불축제2018
무주반딧불축제,2019,9,75086.0,70230.0,86.0,145402.0,16155.7778,19721.7778,-18.1,177496.0,-32094.0,51.64,48.3,0.06,-18.08,전북,무주군,2019.0,전북,무주반딧불축제,2376270290.0,0.0,2376270290.0,8.0,9.0,무주반딧불축제2019
무주반딧불축제,2022,9,85965.0,88057.0,2.0,174024.0,19336.0,16155.7778,19.7,145402.0,28622.0,49.4,50.6,0.0,19.68,전북,무주군,2022.0,전북,무주반딧불축제,2199319210.0,0.0,2199319210.0,8.0,9.0,무주반딧불축제2022
무주반딧불축제,2023,9,87064.0,120005.0,93.0,207162.0,23018.0,19336.0,19.0,174024.0,33138.0,42.03,57.93,0.04,19.04,전북,무주군,2023.0,전북,무주반딧불축제,2199319210.0,0.0,2199319210.0,9.0,9.0,무주반딧불축제2023
문경찻사발축제,2018,10,48486.0,126086.0,258.0,174830.0,17483.0,,,,174830.0,27.73,72.12,0.15,0.0,경북,문경시,2018.0,경북,문경전통찻사발축제,1123725000.0,1000000000.0,123725000.0,4.0,5.0,문경찻사발축제2018
문경찻사발축제,2019,10,48092.0,121642.0,178.0,169912.0,16991.2,17483.0,-2.8,174830.0,-4918.0,28.3,71.59,0.1,-2.81,경북,문경시,2019.0,경북,문경전통찻사발축제,1180000000.0,940000000.0,240000000.0,4.0,5.0,문경찻사발축제2019
문경찻사발축제,2022,9,49408.0,117671.0,6.0,167085.0,18565.0,16991.2,9.3,169912.0,-2827.0,29.57,70.43,0.0,-1.66,경북,문경시,2022.0,경북,문경찻사발축제,1060162640.0,0.0,1060162640.0,4.0,5.0,문경찻사발축제2022
문경찻사발축제,2023,9,59726.0,146531.0,102.0,206359.0,22928.7778,18565.0,23.5,167085.0,39274.0,28.94,71.01,0.05,23.51,경북,문경시,2023.0,경북,문경찻사발축제,1500000000.0,79456933.0,1420543067.0,4.0,5.0,문경찻사발축제2023
밀양아리랑대축제,2018,4,82638.0,31585.0,35.0,114258.0,28564.5,,,,114258.0,72.33,27.64,0.03,0.0,경남,밀양시,2018.0,경남,밀양아리랑대축제,2115391460.0,120000000.0,1995391460.0,5.0,5.0,밀양아리랑대축제2018
밀양아리랑대축제,2019,4,81580.0,30527.0,14.0,112121.0,28030.25,28564.5,-1.9,114258.0,-2137.0,72.76,27.23,0.01,-1.87,경남,밀양시,2019.0,경남,밀양아리랑대축제,2217352000.0,0.0,2217352000.0,5.0,5.0,밀양아리랑대축제2019
밀양아리랑대축제,2022,4,101733.0,35483.0,3.0,137219.0,34304.75,28030.25,22.4,112121.0,25098.0,74.14,25.86,0.0,22.38,경남,밀양시,2022.0,경남,밀양아리랑대축제,2160000000.0,210000000.0,1950000000.0,9.0,9.0,밀양아리랑대축제2022
밀양아리랑대축제,2023,4,104343.0,37401.0,19.0,141763.0,35440.75,34304.75,3.3,137219.0,4544.0,73.6,26.38,0.01,3.31,경남,밀양시,2023.0,경남,밀양아리랑대축제,2200000000.0,0.0,2200000000.0,5.0,5.0,밀양아리랑대축제2023
보령머드축제,2018,10,122151.0,338694.0,1467.0,462312.0,46231.2,,,,462312.0,26.42,73.26,0.32,0.0,충남,보령시,2018.0,충남,보령머드축제,2852869000.0,0.0,2852869000.0,7.0,7.0,보령머드축제2018
보령머드축제,2019,10,117284.0,325715.0,1811.0,444810.0,44481.0,46231.2,-3.8,462312.0,-17502.0,26.37,73.23,0.41,-3.79,충남,보령시,2019.0,충남,보령머드축제,2892180000.0,0.0,2892180000.0,7.0,7.0,보령머드축제2019
보령머드축제,2022,31,449549.0,1213604.0,456.0,1663609.0,53664.8065,44481.0,20.6,444810.0,1218799.0,27.02,72.95,0.03,274.0,충남,보령시,2022.0,충남,보령머드축제,4542217000.0,0.0,4542217000.0,7.0,8.0,보령머드축제2022
보령머드축제,2023,17,225506.0,614824.0,1660.0,841990.0,49528.8235,53664.8065,-7.7,1663609.0,-821619.0,26.78,73.02,0.2,-49.39,충남,보령시,2023.0,충남,보령머드축제,4578328000.0,459537000.0,4118791000.0,7.0,8.0,보령머드축제2023
보성다향대축제,2018,5,35116.0,44564.0,153.0,79833.0,15966.6,,,,79833.0,43.99,55.82,0.19,0.0,전남,보성군,2018.0,전남,보성다향대축제,680000000.0,0.0,680000000.0,5.0,5.0,보성다향대축제2018
