회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
2018,경기,용인시협회장배 체육대회,344704500,0,344704500,1,12,용인시협회장배 체육대회2018
2018,경기,전국(도단위) 체육대회,538000000,0,538000000,1,12,전국(도단위) 체육대회2018
2018,경기,마티네콘서트,303667000,0,303667000,3,12,마티네콘서트2018
2018,경기,파주북소리,380000000,0,380000000,9,9,파주북소리2018
2018,경기,파주개성인삼축제,400000000,0,400000000,10,10,파주개성인삼축제2018
2018,경기,파주장단콩축제,419840000,0,419840000,11,11,파주장단콩축제2018
2018,경기,파주시민 대축제,483298270,0,483298270,9,9,파주시민 대축제2018
2018,경기,이천도자기축제,660481000,0,660481000,10,10,이천도자기축제2018
2018,경기,이천쌀문화축제,737900000,0,737900000,10,10,이천쌀문화축제2018
2018,경기,설봉산별빛축제,361000000,0,361000000,7,8,설봉산별빛축제2018
2018,경기,이천국제조각심포지엄,450000000,0,450000000,8,8,이천국제조각심포지엄2018
2018,경기,안성맞춤 남사당 바우덕이 축제,1443605530,178900000,1264705530,10,10,안성맞춤 남사당 바우덕이 축제2018
2018,경기,정조효문화제,1158619000,0,1158619000,10,10,정조효문화제2018
2018,경기,햇살드리 농특산물 전시홍보판매행사,377201790,0,377201790,1,12,햇살드리 농특산물 전시홍보판매행사2018
2018,경기,화성도시농업박람회,695397000,0,695397000,9,9,화성도시농업박람회2018
2018,경기,화성송산포도축제,300000000,0,300000000,9,9,화성송산포도축제2018
2018,경기,예술단체지원사업,428919820,0,428919820,10,11,예술단체지원사업2018
2018,경기,U-12 전국 유소년 야구대회 및 전국 여자 야구대회,391737040,0,391737040,7,7,U-12 전국 유소년 야구대회 및 전국 여자 야구대회2018
2018,경기,화성뱃놀이축제,1958143740,0,1958143740,5,6,화성뱃놀이축제2018
2018,경기,광주 왕실 도자기 축제,398615000,0,398615000,4,5,광주 왕실 도자기 축제2018
2018,경기,광주 남한산성 문화제,370000000,0,370000000,10,10,광주 남한산성 문화제2018
2018,경기,2018 양주 천만송이 천일홍 축제,498325000,0,498325000,9,9,2018 양주 천만송이 천일홍 축제2018
2018,경기,2018 세종대왕 문화제,831586000,0,831586000,10,10,2018 세종대왕 문화제2018
2018,경기,여주도자기축제,746775000,0,746775000,5,5,여주도자기축제2018
2018,경기,여주오곡나루축제,908229000,160000000,748229000,10,10,여주오곡나루축제2018
2018,경기,연천DMZ국제음악제,380000000,0,380000000,7,7,연천DMZ국제음악제2018
2018,경기,연천전곡리 구석기축제,784100000,31848000,752252000,5,5,연천전곡리 구석기축제2018
2018,경기,양평 용문산 산나물 축제,671032000,20862000,650170000,5,5,양평 용문산 산나물 축제2018
2018,강원,평창대관령음악제,1618994000,546900000,1072094000,7,8,평창대관령음악제2018
2018,강원,GTI 국제무역 투자박람회,2175189000,897268000,1277921000,9,9,GTI 국제무역 투자박람회2018
2018,강원,드림프로그램,1278336000,639168000,639168000,12,12,드림프로그램2018
2018,강원,국제유소년(U15) 축구대회,1484609000,0,1484609000,8,11,국제유소년(U15) 축구대회2018
2018,강원,강원도 평화통일 페스티벌,599786360,0,599786360,11,11,강원도 평화통일 페스티벌2018
2018,강원,대한민국 탄소 포럼,500000000,0,500000000,10,10,대한민국 탄소 포럼2018
