그룹명,구분명,구분값,index
비축제기간,축제지 집중률,0.6967838595268532,광안리어방축제2019
축제기간,외부방문자 유입,0.3842548722047813,광안리어방축제2018
축제기간,현지인방문자 유입,0.7730055292259084,광안리어방축제2018
축제기간,내비게이션 검색량,0.4115077571923482,광안리어방축제2018
축제기간,관광소비,0.5999678174281522,광안리어방축제2018
축제기간,축제지 집중률,0.7298560531061457,광안리어방축제2018
비축제기간,외부방문자 유입,0.3423964837490201,광안리어방축제2018
비축제기간,현지인방문자 유입,0.7668777152448658,광안리어방축제2018
비축제기간,내비게이션 검색량,0.3872382888989306,광안리어방축제2018
비축제기간,관광소비,0.566105308682736,광안리어방축제2018
비축제기간,축제지 집중률,0.7253397573708956,광안리어방축제2018
축제기간,외부방문자 유입,0.6509120504998235,광주김치축제2023
축제기간,현지인방문자 유입,0.8156252407735572,광주김치축제2023
축제기간,내비게이션 검색량,0.613810145468109,광주김치축제2023
축제기간,관광소비,0.6815929592566461,광주김치축제2023
축제기간,축제지 집중률,0.8971978428001401,광주김치축제2023
비축제기간,외부방문자 유입,0.6235409304667623,광주김치축제2023
비축제기간,현지인방문자 유입,0.7772531589490715,광주김치축제2023
비축제기간,내비게이션 검색량,0.5180086721372622,광주김치축제2023
비축제기간,관광소비,0.704412501773557,광주김치축제2023
비축제기간,축제지 집중률,0.8246826566957511,광주김치축제2023
축제기간,외부방문자 유입,0.7245499298970562,광주김치축제2022
축제기간,현지인방문자 유입,0.8349537716466099,광주김치축제2022
축제기간,내비게이션 검색량,0.60034046692607,광주김치축제2022
축제기간,관광소비,0.732330767278359,광주김치축제2022
축제기간,축제지 집중률,0.91530846877825,광주김치축제2022
비축제기간,외부방문자 유입,0.677731085329242,광주김치축제2022
비축제기간,현지인방문자 유입,0.8259282359847373,광주김치축제2022
비축제기간,내비게이션 검색량,0.5922239785992218,광주김치축제2022
비축제기간,관광소비,0.7215143451102253,광주김치축제2022
비축제기간,축제지 집중률,0.8796595896981744,광주김치축제2022
축제기간,외부방문자 유입,0.7215009445303109,광주김치축제2019
축제기간,현지인방문자 유입,0.717806871965087,광주김치축제2019
축제기간,내비게이션 검색량,0.9344569288389514,광주김치축제2019
축제기간,관광소비,0.6197900927460004,광주김치축제2019
축제기간,축제지 집중률,0.7142414417255862,광주김치축제2019
비축제기간,외부방문자 유입,0.5690509923701577,광주김치축제2019
비축제기간,현지인방문자 유입,0.7235155817813018,광주김치축제2019
비축제기간,내비게이션 검색량,0.2763342696629213,광주김치축제2019
비축제기간,관광소비,0.62853238715721,광주김치축제2019
비축제기간,축제지 집중률,0.6114525979867615,광주김치축제2019
축제기간,외부방문자 유입,0.6664298672317746,광주김치축제2018
축제기간,현지인방문자 유입,0.7912400455062572,광주김치축제2018
축제기간,내비게이션 검색량,0.7719298245614035,광주김치축제2018
축제기간,관광소비,0.5947018728921687,광주김치축제2018
축제기간,축제지 집중률,0.6708941003873343,광주김치축제2018
비축제기간,외부방문자 유입,0.515136099471817,광주김치축제2018
비축제기간,현지인방문자 유입,0.7599971558589306,광주김치축제2018
비축제기간,내비게이션 검색량,0.2480811403508772,광주김치축제2018
비축제기간,관광소비,0.5888228608051725,광주김치축제2018
비축제기간,축제지 집중률,0.5558618289114604,광주김치축제2018
축제기간,외부방문자 유입,0.6713327952238726,괴산고추축제2023
축제기간,현지인방문자 유입,0.8847413994851393,괴산고추축제2023
축제기간,내비게이션 검색량,0.6138379657007688,괴산고추축제2023
축제기간,관광소비,0.7157441446900036,괴산고추축제2023
축제기간,축제지 집중률,0.7293824238645986,괴산고추축제2023
비축제기간,외부방문자 유입,0.4258933322232375,괴산고추축제2023
비축제기간,현지인방문자 유입,0.603111104610344,괴산고추축제2023
비축제기간,내비게이션 검색량,0.3153829095209935,괴산고추축제2023
비축제기간,관광소비,0.7138161074090729,괴산고추축제2023
비축제기간,축제지 집중률,0.4351946076131045,괴산고추축제2023
축제기간,외부방문자 유입,0.5655360848997462,괴산고추축제2022
축제기간,현지인방문자 유입,0.8982638021483887,괴산고추축제2022
축제기간,내비게이션 검색량,0.5475129918337045,괴산고추축제2022
축제기간,관광소비,0.671617524572367,괴산고추축제2022
축제기간,축제지 집중률,0.8041715280593973,괴산고추축제2022
비축제기간,외부방문자 유입,0.4872019115386714,괴산고추축제2022
비축제기간,현지인방문자 유입,0.6651417686734948,괴산고추축제2022
비축제기간,내비게이션 검색량,0.369408871566444,괴산고추축제2022
비축제기간,관광소비,0.7500434926919153,괴산고추축제2022
비축제기간,축제지 집중률,0.5611632780545533,괴산고추축제2022
축제기간,외부방문자 유입,0.6540713287227782,괴산고추축제2019
축제기간,현지인방문자 유입,0.7725919913419913,괴산고추축제2019
축제기간,내비게이션 검색량,0.6002317497103129,괴산고추축제2019
축제기간,관광소비,0.8048370524685602,괴산고추축제2019
축제기간,축제지 집중률,0.5728491496916548,괴산고추축제2019
비축제기간,외부방문자 유입,0.3920710482268982,괴산고추축제2019
비축제기간,현지인방문자 유입,0.5489380411255411,괴산고추축제2019
비축제기간,내비게이션 검색량,0.3253186558516802,괴산고추축제2019
비축제기간,관광소비,0.667929132926709,괴산고추축제2019
비축제기간,축제지 집중률,0.3585586793020293,괴산고추축제2019
축제기간,외부방문자 유입,0.5160470600908731,괴산고추축제2018
축제기간,현지인방문자 유입,0.8970781352593565,괴산고추축제2018
축제기간,내비게이션 검색량,0.6224944320712695,괴산고추축제2018
축제기간,관광소비,0.7052366363558003,괴산고추축제2018
축제기간,축제지 집중률,0.5657146466292158,괴산고추축제2018
비축제기간,외부방문자 유입,0.3284749233426822,괴산고추축제2018
비축제기간,현지인방문자 유입,0.6787795469468155,괴산고추축제2018
비축제기간,내비게이션 검색량,0.3569042316258352,괴산고추축제2018
비축제기간,관광소비,0.7125767084010165,괴산고추축제2018
비축제기간,축제지 집중률,0.3406206953215202,괴산고추축제2018
축제기간,외부방문자 유입,0.4713095648245882,군산시간여행축제2023
축제기간,현지인방문자 유입,0.9230354058721936,군산시간여행축제2023
축제기간,내비게이션 검색량,0.4957304256437204,군산시간여행축제2023
축제기간,관광소비,0.7364247569604678,군산시간여행축제2023
축제기간,축제지 집중률,0.8728208437890105,군산시간여행축제2023
비축제기간,외부방문자 유입,0.3810643339743555,군산시간여행축제2023
비축제기간,현지인방문자 유입,0.7675500143926309,군산시간여행축제2023
비축제기간,내비게이션 검색량,0.3480934708355228,군산시간여행축제2023
비축제기간,관광소비,0.746033213839228,군산시간여행축제2023
비축제기간,축제지 집중률,0.708172708037431,군산시간여행축제2023
축제기간,외부방문자 유입,0.7453675401958858,군산시간여행축제2022
축제기간,현지인방문자 유입,0.8314392296347706,군산시간여행축제2022
축제기간,내비게이션 검색량,0.5339811407543699,군산시간여행축제2022
축제기간,관광소비,0.7199899593935373,군산시간여행축제2022
축제기간,축제지 집중률,0.8634599611557352,군산시간여행축제2022
비축제기간,외부방문자 유입,0.5411588373467726,군산시간여행축제2022
비축제기간,현지인방문자 유입,0.7571896417107661,군산시간여행축제2022
비축제기간,내비게이션 검색량,0.3115656623735051,군산시간여행축제2022
비축제기간,관광소비,0.6684808950764434,군산시간여행축제2022
비축제기간,축제지 집중률,0.6557215523707736,군산시간여행축제2022
축제기간,외부방문자 유입,0.7149702520682968,군산시간여행축제2019
축제기간,현지인방문자 유입,0.9873004910988336,군산시간여행축제2019
축제기간,내비게이션 검색량,0.6192138286379124,군산시간여행축제2019
축제기간,관광소비,0.7272268132588486,군산시간여행축제2019
축제기간,축제지 집중률,0.7868717064745331,군산시간여행축제2019
비축제기간,외부방문자 유입,0.4724621088538227,군산시간여행축제2019
비축제기간,현지인방문자 유입,0.6825506445672191,군산시간여행축제2019
비축제기간,내비게이션 검색량,0.3364393750519405,군산시간여행축제2019
비축제기간,관광소비,0.702270378911259,군산시간여행축제2019
비축제기간,축제지 집중률,0.5079225387662575,군산시간여행축제2019
축제기간,외부방문자 유입,0.5549796900971925,군산시간여행축제2018
축제기간,현지인방문자 유입,0.9695511067352224,군산시간여행축제2018
축제기간,내비게이션 검색량,0.3126377663482733,군산시간여행축제2018
축제기간,관광소비,0.6557715140744463,군산시간여행축제2018
축제기간,축제지 집중률,0.8205208098024837,군산시간여행축제2018
비축제기간,외부방문자 유입,0.4652752748414216,군산시간여행축제2018
비축제기간,현지인방문자 유입,0.696354337599825,군산시간여행축제2018
비축제기간,내비게이션 검색량,0.3537227528777859,군산시간여행축제2018
비축제기간,관광소비,0.6169788893168732,군산시간여행축제2018
비축제기간,축제지 집중률,0.6823806376820806,군산시간여행축제2018
축제기간,외부방문자 유입,0.5914142859001488,금산인삼축제2023
축제기간,현지인방문자 유입,0.9304838003502628,금산인삼축제2023
축제기간,내비게이션 검색량,0.4865291262135922,금산인삼축제2023
축제기간,관광소비,0.7629366801801688,금산인삼축제2023
축제기간,축제지 집중률,0.9369444268792042,금산인삼축제2023
비축제기간,외부방문자 유입,0.275096829568672,금산인삼축제2023
비축제기간,현지인방문자 유입,0.7897301882661996,금산인삼축제2023
