,Festival,name_year,month,year,visitors,cost,date,visit/cost,target
103,부평풍물대축제,부평풍물대축제2023,9,2023,259628,703710000.0,2023-09-01,0.0003689417515738017,youth
104,산청한방약초축제,산청한방약초축제2018,9,2018,86886,2034511832.0,2018-09-01,4.270606768336553e-05,old
105,산청한방약초축제,산청한방약초축제2019,9,2019,88394,2167000000.0,2019-09-01,4.079095523765575e-05,old
106,산청한방약초축제,산청한방약초축제2022,9,2022,125311,2394390740.0,2022-09-01,5.233523413977119e-05,old
107,산청한방약초축제,산청한방약초축제2023,10,2023,71284,2840643500.0,2023-10-01,2.5094314017228843e-05,old
108,서산해미읍성축제,서산해미읍성축제2018,10,2018,86581,880000000.0,2018-10-01,9.83875e-05,old
109,서산해미읍성축제,서산해미읍성축제2019,10,2019,98410,900000000.0,2019-10-01,0.00010934444444444444,old
110,서산해미읍성축제,서산해미읍성축제2022,10,2022,86188,1114648150.0,2022-10-01,7.732305481330589e-05,old
111,서산해미읍성축제,서산해미읍성축제2023,10,2023,90221,1643717000.0,2023-10-01,5.4888402322297575e-05,old
112,석장리세계구석기축제,석장리 구석기 축제2018,5,2018,66991,700000000.0,2018-05-01,9.570142857142857e-05,family
113,석장리세계구석기축제,석장리 구석기 축제2019,5,2019,87852,600000000.0,2019-05-01,0.00014642,family
114,석장리세계구석기축제,석장리 구석기 축제2022,5,2022,76794,1075376710.0,2022-05-01,7.141125457329274e-05,family
115,석장리세계구석기축제,석장리 구석기 축제2023,5,2023,53969,1022123400.0,2023-05-01,5.2800865335829314e-05,family
116,세종축제,세종축제2018,10,2018,90255,1209879720.0,2018-10-01,7.459832453427685e-05,family
117,세종축제,세종축제2019,10,2019,217922,1000000000.0,2019-10-01,0.000217922,family
118,세종축제,세종축제2022,10,2022,196970,899634000.0,2022-10-01,0.00021894459302338506,family
119,세종축제,세종축제2023,10,2023,186094,1169405000.0,2023-10-01,0.00015913562880268172,family
120,소래포구축제,소래포구축제2018,10,2018,151432,459839410.0,2018-10-01,0.00032931496671848986,family
121,소래포구축제,소래포구축제2022,10,2022,137012,678471590.0,2022-10-01,0.0002019421329049312,family
122,소래포구축제,소래포구축제2023,9,2023,152350,628646970.0,2023-09-01,0.00024234587498290176,family
123,수성못페스티벌,수성못페스티벌2019,9,2019,219462,304927540.0,2019-09-01,0.0007197185272278129,family
124,수성못페스티벌,수성못페스티벌2022,9,2022,260141,362149119.0,2022-09-01,0.0007183256464031326,family
125,수성못페스티벌,수성못페스티벌2023,9,2023,223366,436612280.0,2023-09-01,0.0005115889090430531,family
126,수원화성문화제,수원화성문화제2018,10,2018,174565,1626876470.0,2018-10-01,0.00010730070980742625,old
127,수원화성문화제,수원화성문화제2019,10,2019,250132,1671346200.0,2019-10-01,0.00014965899943410887,old
128,수원화성문화제,수원화성문화제2022,10,2022,198157,1429100306.0,2022-10-01,0.00013865856662968206,old
129,수원화성문화제,수원화성문화제2023,10,2023,256923,1429100306.0,2023-10-01,0.00017977954306028958,old
130,순창장류축제,순창장류축제2018,10,2018,67138,849930570.0,2018-10-01,7.899233463269829e-05,old
131,순창장류축제,순창장류축제2019,10,2019,68634,849992431.0,2019-10-01,8.074660137767745e-05,old
132,순창장류축제,순창장류축제2022,10,2022,84052,1000000000.0,2022-10-01,8.4052e-05,old
133,순창장류축제,순창장류축제2023,10,2023,74130,1050000000.0,2023-10-01,7.06e-05,old
134,시흥갯골축제,갯골축제2018,9,2018,39501,720000000.0,2018-09-01,5.48625e-05,family
135,시흥갯골축제,갯골축제2019,9,2019,41615,847635000.0,2019-09-01,4.909542432768822e-05,family
136,시흥갯골축제,갯골축제2023,1,2023,88280,859799150.0,2023-01-01,0.00010267514221199218,family
137,안동탈춤축제,안동민속축제2018,9,2018,408198,337000000.0,2018-09-01,0.0012112700296735906,family
138,안동탈춤축제,안동민속축제2019,9,2019,427845,337000000.0,2019-09-01,0.0012695697329376855,family
139,안동탈춤축제,안동민속축제2022,9,2022,253773,337000000.0,2022-09-01,0.0007530356083086053,family
140,안동탈춤축제,안동민속축제2023,5,2023,361654,770000000.0,2023-05-01,0.00046968051948051946,family
141,안성맞춤남사당바우덕이축제,안성맞춤 남사당 바우덕이 축제2018,10,2018,120823,1443605530.0,2018-10-01,8.369530144429413e-05,old
142,안성맞춤남사당바우덕이축제,안성맞춤 남사당 바우덕이 축제2022,9,2022,125575,1678590000.0,2022-09-01,7.480981061486128e-05,old
143,안성맞춤남사당바우덕이축제,안성맞춤 남사당 바우덕이 축제2023,10,2023,116544,1935560900.0,2023-10-01,6.021200366260757e-05,old
144,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2018,7,2018,34814,350000000.0,2018-07-01,9.946857142857143e-05,old
145,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2019,7,2019,44239,348786000.0,2019-07-01,0.00012683708635094298,old
146,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2022,8,2022,51594,502387820.0,2022-08-01,0.00010269755345581427,old
147,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2023,8,2023,49878,502387820.0,2023-08-01,9.928186555159717e-05,old
148,양양송이축제,양양 송이 축제2018,9,2018,135037,529505980.0,2018-09-01,0.0002550245041614072,old
149,양양송이축제,양양 송이 축제2019,9,2019,133140,529753860.0,2019-09-01,0.00025132426595249346,old
150,양양송이축제,양양 송이 축제2022,9,2022,153355,544969610.0,2022-09-01,0.0002814010124344365,old
151,양양송이축제,양양 송이 축제2023,10,2023,209100,530117680.0,2023-10-01,0.00039444072116213893,old
