,Festival,name_year,month,year,visitors,cost,date,visit/cost,target,Fe_festival_conc,Fe_foreigner,Fe_local,Fe_navi,Fe_tour_fee,non_festival_conc,non_foreigner,non_local,non_navi,non_tour_fee,축제기간(일),도,index_y
72,목포항구축제,목포항구축제2023,10,2023,83906,968421400.0,2023-10-01,8.664203413927036e-05,old,0.9378738711620076,0.6436084978578686,0.9207762007858232,0.4984142880988149,0.6842241263298418,0.6945675691853781,0.4972378833384862,0.5029368134071045,0.3990777833416792,0.6860448107108933,3.0,전남,목포항구축제2023
73,무주반딧불축제,무주반딧불축제2018,9,2018,177496,2849963580.0,2018-09-01,6.228009411965889e-05,family,0.8877406531333111,0.5253360154188137,0.9163287873203096,0.4262198706643151,0.2361085362836039,0.4651921828793003,0.266343561167597,0.731140189212434,0.2583039388594944,0.2403245385335495,9.0,전북,무주반딧불축제2018
74,무주반딧불축제,무주반딧불축제2019,8,2019,145402,2376270290.0,2019-08-01,6.118916716330279e-05,family,0.8888074181456511,0.3703466695318348,0.8981411705601609,0.2661728395061728,0.2604714180706992,0.5121900875995536,0.2905613517272907,0.7151888135309385,0.2262962962962963,0.3163907204169299,9.0,전북,무주반딧불축제2019
75,무주반딧불축제,무주반딧불축제2022,8,2022,174024,2199319210.0,2022-08-01,7.912630381653421e-05,family,0.8273102416350291,0.4602319637266285,0.8812112079790478,0.3176377597109304,0.3719945457718442,0.4590310331076918,0.3229285845132605,0.7182398737129122,0.2846093044263776,0.4130433245119867,9.0,전북,무주반딧불축제2022
76,무주반딧불축제,무주반딧불축제2023,9,2023,207162,2199319210.0,2023-09-01,9.419369369305878e-05,family,0.7817778662139817,0.4567015274047262,0.891325378910029,0.4027108970929195,0.3012149059719137,0.3811369499862803,0.2103321273233773,0.6894281414597442,0.1159116580464895,0.2942451256027238,9.0,전북,무주반딧불축제2023
77,문경찻사발축제,문경전통찻사발축제2018,4,2018,174830,1123725000.0,2018-04-01,0.0001555807693163,old,0.6078430811944981,0.3750827527037498,0.731414994720169,0.3238344683080147,0.6261605836608544,0.5235315079354682,0.224276303484965,0.5595564941921859,0.1812860136196961,0.5269283759374521,10.0,경북,문경전통찻사발축제2018
78,문경찻사발축제,문경전통찻사발축제2019,4,2019,169912,1180000000.0,2019-04-01,0.0001439932203389,old,0.7258678474566586,0.2381346506086273,0.815005931198102,0.3089644513137558,0.6170407130415939,0.6828612677305063,0.1589986335940387,0.7290183867141162,0.1629057187017001,0.4889875031692475,10.0,경북,문경전통찻사발축제2019
79,문경찻사발축제,문경찻사발축제2022,4,2022,167085,1060162640.0,2022-04-01,0.0001576031768106,old,0.5906918510494172,0.2958243885933181,0.6386626854867897,0.3077892023317807,0.6506772451156956,0.5719366865351848,0.2101961803179143,0.557342562432139,0.2188314731815918,0.5474173738563076,9.0,경북,문경찻사발축제2022
80,문경찻사발축제,문경찻사발축제2023,4,2023,206359,1500000000.0,2023-04-01,0.0001375726666666,old,0.644344469964469,0.1898305237025788,0.8725775937004653,0.3206766459778508,0.5985064378975357,0.558485333597377,0.1257057962060929,0.7220049087283326,0.2284668978946087,0.5229682603550678,9.0,경북,문경찻사발축제2023
81,밀양아리랑대축제,밀양아리랑대축제2018,5,2018,114258,2115391460.0,2018-05-01,5.401269796182311e-05,old,0.8326978098295105,0.3822098763641287,0.9088144726712856,0.3666666666666666,0.6856054900280371,0.577283038385313,0.2200506667730408,0.8329195535026944,0.2122023809523809,0.6147697558937687,4.0,경남,밀양아리랑대축제2018
82,밀양아리랑대축제,밀양아리랑대축제2019,5,2019,112121,2217352000.0,2019-05-01,5.056526884319675e-05,old,0.8711049221257373,0.3579163248564397,0.862912779505405,0.255050505050505,0.7447666494484525,0.569348536492323,0.2309028184694714,0.7967292314526877,0.2212752525252525,0.696082057328229,4.0,경남,밀양아리랑대축제2019
83,밀양아리랑대축제,밀양아리랑대축제2022,9,2022,137219,2160000000.0,2022-09-01,6.352731481481482e-05,old,0.8680624081011423,0.450110046890427,0.9359544049459042,0.5214025500910747,0.6752600213842147,0.6369736960574558,0.3244956152478618,0.8528746458011335,0.4823542805100182,0.704831392603289,4.0,경남,밀양아리랑대축제2022
84,밀양아리랑대축제,밀양아리랑대축제2023,5,2023,141763,2200000000.0,2023-05-01,6.443772727272728e-05,old,0.8890168984326021,0.4645192536387791,0.9268747668200472,0.4953900709219858,0.6836024972500592,0.6172523878739528,0.2874386476622089,0.8446749471458774,0.2862145390070922,0.641676754791709,4.0,경남,밀양아리랑대축제2023
85,보령머드축제,보령머드축제2018,7,2018,462312,2852869000.0,2018-07-01,0.0001620516048931,family,0.9057558868865594,0.5716685125212806,0.8011937557392103,0.4148717948717949,0.661946737957879,0.8039552673594624,0.4802946757037916,0.6473829201101928,0.361482905982906,0.6194294674658901,10.0,충남,보령머드축제2018
86,보령머드축제,보령머드축제2019,7,2019,444810,2892180000.0,2019-07-01,0.0001537974814845,family,0.902417798111963,0.5009341820706784,0.7813010025647004,0.3892703862660944,0.5745045313296104,0.8202167457466915,0.4433129433464764,0.6699638610398695,0.3715034082302449,0.5867330079250305,10.0,충남,보령머드축제2019
87,보령머드축제,보령머드축제2022,7,2022,1663609,4542217000.0,2022-07-01,0.0003662548486785,family,0.8551655318039465,0.5465031770107356,0.6692493265458184,0.4271310072416063,0.6386992323002912,0.8194334665270779,0.4393888605120769,0.6385724921419116,0.3384302134646962,0.5826028570158808,31.0,충남,보령머드축제2022
88,보령머드축제,보령머드축제2023,7,2023,841990,4578328000.0,2023-07-01,0.0001839077497287,family,0.9020796221126424,0.5238805240777199,0.8219475168076339,0.308137283796513,0.6685348278599965,0.8373614469451176,0.3455248085981104,0.7469795230199873,0.2294350481224786,0.55243069706895,17.0,충남,보령머드축제2023
89,보성다향대축제,보성다향대축제2018,5,2018,79833,680000000.0,2018-05-01,0.0001174014705882,old,0.7228813668957124,0.4901575644644178,0.7487313432835822,0.4928892889288929,0.5846896028764693,0.5388569402866179,0.2725578878141013,0.6810541044776119,0.2047704770477047,0.4827638505596757,5.0,전남,보성다향대축제2018
90,보성다향대축제,보성다향대축제2019,5,2019,100353,870000000.0,2019-05-01,0.000115348275862,old,0.7210138704406279,0.5736208115368302,0.7844977407021203,0.5220299884659747,0.6952929546890627,0.544552869306858,0.2308303878599369,0.6376346889120612,0.1290657439446366,0.4667524598264237,5.0,전남,보성다향대축제2019
91,보성다향대축제,보성다향대축제2023,4,2023,180034,929003170.0,2023-04-01,0.000193792664884,old,0.7748939626254563,0.5773241251105286,0.7268217893217893,0.3898859376246311,0.5808559318401526,0.4795850684122102,0.2738082367694571,0.5993341149591149,0.1623394751535455,0.5283825538397097,9.0,전남,보성다향대축제2023
92,봉화은어축제,봉화은어축제2018,7,2018,155543,1475114560.0,2018-07-01,0.000105444691699,family,0.6037805824236258,0.5944125226524289,0.827219112355058,0.734375,0.6365339696284434,0.477766591400675,0.1819981086439719,0.7500749700119952,0.0460286458333333,0.4072757538950747,8.0,경북,봉화은어축제2018
93,봉화은어축제,봉화은어축제2019,7,2019,202350,2031275630.0,2019-07-01,9.961720458389982e-05,family,0.7658273178189308,0.7418319864500842,0.7244128420599009,0.5932932072227,0.7177428042698355,0.5006052313795031,0.2061825150679748,0.6267417223299576,0.0392662654055603,0.5093119497351782,9.0,경북,봉화은어축제2019
94,봉화은어축제,봉화은어축제2022,7,2022,183781,1660122016.0,2022-07-01,0.0001107033086898,family,0.8482920686706394,0.5675924350389696,0.7956454857413324,0.5601717659688674,0.6595601047848468,0.6014255033947629,0.198466800977578,0.7038121721295311,0.0648953301127214,0.51560816495662,9.0,경북,봉화은어축제2022
